User,Date (MM/DD/YYYY),Mode (RF / DC),Target,Power (RF: W / DC: A),Pressure (mTorr),MFC flow (sccm),Time,Thickness (nm),Comment
Arthur,6/1/2020,RF,SiO2,120,1.23,15,0:33:37,88,B
Arthur,6/1/2020,RF,SiO2,120,1.23,15,0:44:19,118.4,C
Arthur,6/1/2020,RF,SiO2,120,1.23,15,0:43:25,113.5,D
Arthur,6/1/2020,RF,SiO2,120,1.23,15,0:43:56,105,서민교+E+F
Arthur,6/2/2020,RF,SiO2,120,1.23,15,0:56:56,142,G
Arthur,6/2/2020,RF,SiO2,120,1.23,15,0:58:54,153,H
Arthur,6/2/2020,RF,SiO2,120,1.23,15,0:57:42,149.1,I
Arthur,6/2/2020,RF,SiO2,120,1.23,15,0:57:45,142.5,서민교+J+K
태용,6/4/2020,RF,Si,200,1,10,0:30:00,,Pre-sputtering after target change
태용,6/4/2020,RF,Si,200,1,10,0:30:00,258,1.3 A/s
태용,6/4/2020,RF,Si,200,1,10,0:12:49,95,1.24 A/s
태용,6/4/2020,RF,Si,200,1,10,1:29:22,650,
Arthur,6/8/2020,RF,SiO2,120,1.23,15,0:40:06,110.9,L
Arthur,6/8/2020,RF,SiO2,120,1.23,15,0:39:33,108.8,M
Arthur,6/8/2020,RF,SiO2,120,1.23,15,0:38:30,106.7,N
Arthur,6/8/2020,RF,SiO2,120,1.23,15,0:37:56,110,"O, weird"
Arthur,6/9/2020,RF,SiO2,120,1.23,15,0:36:00,93.5,A
Arthur,6/9/2020,RF,SiO2,120,1.23,15,0:38:33,107.2,B
Arthur,6/9/2020,RF,SiO2,120,1.23,15,0:38:00,106.1,C
Arthur,6/9/2020,RF,SiO2,120,1.23,15,0:38:20,,서민교
Arthur,6/27/2020,RF,SiO2,120,1.23,15,0:20:00,,
Arthur,6/27/2020,RF,SiO2,250,0.86,10,0:20:00,,
태용,6/30/2020,RF,Si,200,1,10,0:30:00,,Free sputtering
태용,6/30/2020,RF,Si,200,1,10,0:30:00,,
태용,6/30/2020,RF,Si,200,1,10,1:32:36,,
Arthur,7/18/2020,RF,SiO2,250,0.84,10,0:18:00,99,E
Arthur,7/18/2020,RF,SiO2,250,0.84,10,0:21:30,136,F
Arthur,7/18/2020,RF,SiO2,250,0.84,10,0:19:27,125.7,G
Arthur,7/18/2020,RF,SiO2,250,0.84,10,0:18:00,113.7,H
Arthur,7/18/2020,RF,SiO2,250,0.84,10,0:18:14,116,I
Arthur,7/18/2020,RF,SiO2,250,0.84,10,0:18:14,,서민교
Arthur,7/18/2020,RF,SiO2,250,0.84,10,0:23:32,148.8,J
Arthur,7/18/2020,RF,SiO2,250,0.84,10,0:23:40,150,K
Arthur,7/18/2020,RF,SiO2,250,0.84,10,0:23:40,,서민교
준형,7/21/2020,DC,Ag,0.1,23.65,20,1:10:00,,
Arthur,7/23/2020,RF,SiO2,250,0.84,10,0:16:27,89.7,L
Arthur,7/23/2020,RF,SiO2,250,0.84,10,0:17:28,111.9,M
Arthur,7/23/2020,RF,SiO2,250,0.84,10,0:16:23,104.5,N
Arthur,7/23/2020,RF,SiO2,250,0.84,10,0:16:24,104.4,O
Arthur,7/23/2020,RF,SiO2,250,0.84,10,0:16:26,,서민교
Arthur,7/28/2020,RF,SiO2,250,0.84,10,0:41:30,255.3,A
Arthur,7/28/2020,RF,SiO2,250,0.84,10,0:42:26,268.1,B
Arthur,7/28/2020,RF,SiO2,250,0.84,10,0:41:19,261.2,C
Arthur,7/28/2020,RF,SiO2,250,0.84,10,0:41:18,259.4,F
Arthur,7/28/2020,RF,SiO2,250,0.84,10,0:41:18,,서민교
준형,7/28/2020,DC,Ag,0.1,25.5,20,0:10:00,,
준형,7/28/2020,DC,Ag,0.1,26,20,0:20:00,,
Arthur,7/30/2020,RF,SiO2,250,0.84,10,,,
준형,8/7/2020,DC,Ag,0.1,23,20,1:00:00,,
Arthur,8/10/2020,RF,SiO2,250,0.84,10,0:15:00,,M
Arthur,8/10/2020,RF,SiO2,250,0.84,10,0:27:38,,민열 C
준형,8/10/2020,DC,Ag,0.1,26.08,20,1:05:00,,
준형,8/10/2020,DC,Ag,0.1,23.84,20,1:05:00,,
민관,8/20/2020,DC,Au,0.1,,25,0:04:00,,
민관,8/20/2020,DC,Au,0.1,,18,0:04:00,,
민관,8/20/2020,DC,Au,0.1,,18,0:03:00,,
Arthur,8/31/2020,RF,SiO2,250,0.84,10,0:22:02,136.6,"A, bit low"
Arthur,8/31/2020,RF,SiO2,250,0.84,10,0:22:02,136.8,B
Arthur,8/31/2020,RF,SiO2,250,0.84,10,0:22:31,139.1,C
Arthur,8/31/2020,RF,SiO2,250,0.84,10,0:22:41,141.1,D
Arthur,8/31/2020,RF,SiO2,250,0.84,10,0:22:34,140.6,E + 서민교
준형,9/2/2020,DC,Ag,0.1,26.34,20,1:00:00,,
태용,9/15/2020,RF,Si,200,1,10,1:00:30,,1.14 A/s
준형,9/16/2020,DC,Ag,0.1,26.52,20,1:15:00,,
태용,9/17/2020,RF,Si,200,,10,1:30:00,,1.14 A/s
태용,9/17/2020,RF,Si,200,,10,1:35:02,,
준형,9/25/2020,DC,Ag,0.1,26.35,20,1:15:00,,
Arthur,9/27/2020,RF,SiO2,250,0.84,10,0:35:15,224.5,
Arthur,9/27/2020,RF,SiO2,250,0.84,10,0:39:17,250,
Arthur,9/27/2020,RF,SiO2,250,0.84,10,0:39:17,252,
Arthur,9/27/2020,RF,SiO2,250,0.84,10,0:39:17,252.5,
Arthur,9/27/2020,RF,SiO2,250,0.84,10,0:07:51,54.4,
Arthur,9/27/2020,RF,SiO2,250,0.84,10,0:07:13,54,
Arthur,9/27/2020,RF,SiO2,250,0.84,10,0:07:02,50.6,
Arthur,9/27/2020,RF,SiO2,250,0.84,10,0:14:05,95.6,
Arthur,9/27/2020,RF,SiO2,250,0.84,10,0:14:47,98.5,
Arthur,9/27/2020,RF,SiO2,250,0.84,10,0:14:56,98.6,
Arthur,9/27/2020,RF,SiO2,250,0.84,10,0:22:49,148.7,
Arthur,9/27/2020,RF,SiO2,250,0.84,10,0:23:01,147,
Arthur,9/27/2020,RF,SiO2,250,0.84,10,0:23:01,,
Arthur,9/27/2020,RF,SiO2,250,0.84,10,0:31:00,198.9,
Arthur,9/27/2020,RF,SiO2,250,0.84,10,0:31:15,202,
Arthur,9/27/2020,RF,SiO2,250,0.84,10,0:35:17,224,
Arthur,9/28/2020,RF,SiO2,250,0.84,10,0:43:13,276.4,
Arthur,9/28/2020,RF,SiO2,250,0.84,10,0:43:07,277.5,
Arthur,9/28/2020,RF,SiO2,250,0.84,10,0:47:08,297.25,
Arthur,9/28/2020,RF,SiO2,250,0.84,10,0:47:08,301.8,
수완,10/6/2020,RF,ZnS,120,1,2,0:32:10,,
수완,10/6/2020,RF,ZnS,120,1,2,0:10:00,,
수완,10/6/2020,RF,ZnS,120,1,2,0:31:00,,
수완,10/6/2020,RF,ZnS,120,1,2,0:10:00,,Test (68nm?)
수완,10/6/2020,RF,ZnS,120,1,2,0:30:00,,Red 1st-1
수완,10/6/2020,RF,ZnS,120,1,2,0:35:00,,Red 1st-2
수완,10/6/2020,RF,ZnS,120,1,2,0:37:30,,Red 1st-3
수완,10/6/2020,DC,Ge,0.13,5,9,0:04:00,,
수완,10/6/2020,DC,Ge,0.13,5,9,0:03:24,,Red 2nd
수완,10/6/2020,RF,ZnS,120,1,2,0:10:05,,Red 3rd
수완,10/6/2020,DC,Ge,0.13,5,9,0:01:19,,Red 4th
수완,10/6/2020,RF,ZnS,120,1,2,0:11:00,,Red 5th-1
수완,10/6/2020,RF,ZnS,120,1,2,0:30:00,,ARC-1
수완,10/6/2020,RF,ZnS,120,1,2,0:30:00,,ARC-2
수완,10/6/2020,RF,ZnS,120,1,2,0:30:00,,ARC-3
수완,10/6/2020,RF,ZnS,120,1,2,0:35:00,,ARC-4
준형,10/9/2020,DC,Ag,0.1,26.51,20,1:15:00,,
수완,10/11/2020,DC,Ge,0.13,5,9,0:01:55,,Ge/Al/Si
수완,10/11/2020,DC,Ge,0.13,5,9,0:01:55,,Ge/Si
수완,10/11/2020,DC,Ge,0.13,5,9,0:04:00,,Ge/Si
수완,10/11/2020,DC,Ge,0.13,5,9,0:02:30,,Ge/Al/Si
